id,title,address,Response_X,Response_Y
70,臺北逸仙郵局(臺北80支),臺北市信義區逸仙路46號,121.561762,25.040346
71,臺北體育場郵局(臺北81支),臺北市松山區儲匯：南京東路3段346號  郵務：南京東路3段346號後棟,121.5638621,25.0541591
72,臺北正義郵局(臺北82支),臺北市大安區忠孝東路3段150、152、154號,121.538305,25.0414992
73,士林蘭雅郵局(臺北83支),臺北市士林區忠誠路1段52號,121.5269523,25.104625
74,臺北杭南郵局(臺北84支),臺北市中正區杭州南路1段23號之3,121.5265416,25.0424074
75,東吳大學郵局(臺北86支),臺北市士林區臨溪路70號(東吳大學內),121.545748,25.094415
76,臺北民生郵局(臺北87支),臺北市松山區民生東路5段191號,121.5656544,25.0593415
77,臺灣科大郵局(臺北90支),臺北市大安區基隆路4段43號(台灣科技大學內),121.540341,25.0127239
78,臺北金南郵局(臺北91支),臺北市大安區愛國東路216號,121.5245671,25.0318173
79,臺北中正堂郵局(臺北92支),臺北市中正區中山南路21號(中正紀念堂內),121.5218265,25.0346522
80,文山武功郵局(臺北93支),臺北市文山區羅斯福路5段147號,121.539013,25.004192
81,臺北青年郵局(臺北95支),臺北市萬華區國興路34、36、38號,121.5081939,25.0249068
82,臺北安和郵局(臺北96支),臺北市大安區安和路2段61、63號,121.5526743,25.0308286
83,文山萬盛郵局(臺北97支),臺北市文山區汀州路4段88號(師大分部內),121.5369051,25.0079634
84,臺北永春郵局(臺北99支),臺北市信義區忠孝東路5段464、466號,121.576702,25.040661
85,監察院郵局(臺北100支),臺北市中正區忠孝東路1段2號(監察院東側，面向鎮江街),121.5198716,25.0421407
86,臺北榮星郵局(臺北101支),臺北市松山區民權東路3段124之1、2號,121.5457453,25.0619081
87,臺北北安郵局(臺北104支),臺北市中山區北安路630巷10號,121.5498429,25.0826554
88,士林芝山郵局(臺北105支),臺北市士林區士東路286巷36號,121.5373205,25.1114041
89,士林法院郵局(臺北106支),臺北市士林區士東路190號,121.5330572,25.1125099
90,臺北中山堂郵局(臺北107支),臺北市中正區中華路1段53號,121.5089941,25.0433213
91,臺北敦南郵局(臺北108支),臺北市大安區忠孝東路4段170巷9號,121.5508815,25.040612
92,臺北世貿郵局(臺北109支),臺北市信義區信義路5段5號(世貿中心內),121.562324,25.0332591
93,臺北南門郵局(臺北110支),臺北市中正區廣州街2號,121.5102919,25.0349318
94,文山萬芳郵局(臺北111支),臺北市文山區興隆路3段178、180號,121.5586625,24.9981144
95,臺北興安郵局(臺北112支),臺北市中山區復興北路210、212號,121.543485,25.055728
96,臺大醫院郵局(臺北115支),臺北市中正區中山南路7號(台大醫院內),121.5191318,25.0402867
97,士林外雙溪郵局(臺北116支),臺北市士林區明溪街15號,121.565204,25.107
