title,exit,Response_X,Response_Y
新北投站出口,0,121.503524,25.136968
復興崗站出口2,2,121.485159,25.137325
復興崗站出口1,1,121.485373,25.137665
忠義站出口1,1,121.473169,25.131056
忠義站出口2,2,121.473657,25.130905
關渡站出口1,1,121.467215,25.125431
關渡站出口2,2,121.466861,25.12547
竹圍站出口1,1,121.459726,25.136971
竹圍站出口2,2,121.459383,25.136854
紅樹林站出口1,1,121.459039,25.154137
紅樹林站出口2,2,121.458583,25.153831
淡水站出口1,1,121.445355,25.168084
淡水站出口2,2,121.445988,25.167577
永寧站出口1,1,121.435254,24.966714
永寧站出口2,2,121.43568,24.966102
永寧站出口3,3,121.436799,24.966947
永寧站出口4,4,121.436412,24.967191
土城站出口1,1,121.444173,24.973251
土城站出口2,2,121.443671,24.972663
土城站出口3,3,121.445266,24.973714
海山站出口1,1,121.448615,24.985375
海山站出口2,2,121.448956,24.985329
海山站出口3,3,121.449127,24.98609
亞東醫院站出口1,1,121.452581,24.998933
亞東醫院站出口2,2,121.452388,24.998252
亞東醫院站出口3,3,121.45287,24.998875
府中站出口1,1,121.459077,25.008486
府中站出口2,2,121.459501,25.008943
府中站出口3,3,121.45897,25.009162
板橋站出口1,1,121.461754,25.013416
板橋站出口2,2,121.462483,25.013192
板橋站出口3,3,121.462589,25.014554
新埔站出口1,1,121.467457,25.023063
新埔站出口2,2,121.468176,25.0222
新埔站出口3,3,121.468574,25.022844
新埔站出口4,4,121.468728,25.023638
新埔站出口5,5,121.468138,25.024163
江子翠站出口1,1,121.471914,25.030298
江子翠站出口2,2,121.471903,25.029782
江子翠站出口3,3,121.472156,25.029459
江子翠站出口4,4,121.472719,25.029763
江子翠站出口5,5,121.473609,25.031027
江子翠站出口6,6,121.473126,25.031095
龍山寺站出口1,1,121.49953,25.035484
龍山寺站出口2,2,121.499798,25.035109
龍山寺站出口3,3,121.501622,25.035421
善導寺站出口1,1,121.523009,25.045097
善導寺站出口2,2,121.523053,25.044796
善導寺站出口3,3,121.523734,25.044568
善導寺站出口4,4,121.524217,25.044111
善導寺站出口5,5,121.52482,25.044256
善導寺站出口6,6,121.524898,25.044632
忠孝新生站出口2,2,121.532065,25.042103
忠孝新生站出口3,3,121.53368,25.041783
忠孝新生站出口4,4,121.533213,25.042458
忠孝新生站出口1,1,121.531829,25.042784
忠孝新生站出口5,5,121.532232,25.041214
忠孝新生站出口6,6,121.533068,25.040791
忠孝新生站出口7,7,121.533068,25.041729
忠孝敦化站出口1,1,121.550578,25.041642
忠孝敦化站出口2,2,121.551694,25.041632
忠孝敦化站出口3,3,121.551586,25.04134
忠孝敦化站出口4,4,121.550567,25.04135
忠孝敦化站出口5,5,121.549824,25.041238
忠孝敦化站出口6,6,121.549174,25.041029
忠孝敦化站出口7,7,121.549913,25.041661
忠孝敦化站出口8,8,121.549194,25.041928
國父紀念館站出口1,1,121.556663,25.041838
國父紀念館站出口2,2,121.556704,25.041029
國父紀念館站出口3,3,121.557981,25.041195
國父紀念館站出口4,4,121.558539,25.04117
國父紀念館站出口5,5,121.558002,25.041501
市政府站出口1,1,121.565459,25.041408
市政府站出口2,2,121.565062,25.040971
市政府站出口3,3,121.567149,25.040903
市政府站出口4,4,121.567181,25.041263
永春站出口1,1,121.57512,25.040995
永春站出口2,2,121.575383,25.040704
永春站出口3,3,121.576155,25.040704
永春站出口4,4,121.576574,25.040699
永春站出口5,5,121.576622,25.040961
後山埤站出口1,1,121.58141,25.044422
後山埤站出口2,2,121.581854,25.043703
後山埤站出口3,3,121.583277,25.045232
後山埤站出口4,4,121.582441,25.045653
昆陽站出口1,1,121.592726,25.050319
昆陽站出口2,2,121.592825,25.050402
昆陽站出口3,3,121.59363,25.050599
昆陽站出口4,4,121.593799,25.050572
南港站出口1,1,121.606357,25.051911
南港站出口2,2,121.60743,25.052025
象山站出口1,1,121.569394,25.033025
象山站出口2,2,121.569809,25.032366
象山站出口3,3,121.570408,25.03302
台北101/世貿站出口1,1,121.561671,25.033107
台北101/世貿站出口2,2,121.561564,25.032733
台北101/世貿站出口3,3,121.563646,25.032742
台北101/世貿站出口4,4,121.564112,25.033034
台北101/世貿站出口5,5,121.563292,25.033102
信義安和站出口1,1,121.552602,25.033377
信義安和站出口2,2,121.552332,25.033032
信義安和站出口3,3,121.553282,25.033022
信義安和站出口4,4,121.5534,25.033022
信義安和站出口5,5,121.553526,25.033326
大安森林公園站出口1,1,121.534442,25.033693
大安森林公園站出口2,2,121.534487,25.033391
大安森林公園站出口3,3,121.534882,25.033396
大安森林公園站出口4,4,121.535292,25.033391
大安森林公園站出口5,5,121.535989,25.033369
大安森林公園站出口6,6,121.535952,25.033654
輔大站出口1,1,121.435264,25.032932
輔大站出口2,2,121.435277,25.032315
輔大站出口3,3,121.436541,25.032776
輔大站出口4,4,121.43652,25.033175
新莊站出口1,1,121.452168,25.03615
新莊站出口2,2,121.4525,25.036014
頭前庄站出口1,1,121.460783,25.03963
頭前庄站出口2,2,121.460931,25.039068
頭前庄站出口3,3,121.462247,25.039853
頭前庄站出口4,4,121.462242,25.040485
先嗇宮站出口1,1,121.471319,25.046497
先嗇宮站出口2,2,121.471372,25.046094
先嗇宮站出口3,3,121.471801,25.046239
三重站出口1,1,121.483748,25.055303
三重站出口2,2,121.484451,25.055429
三重站出口3,3,121.485282,25.056134
菜寮站出口1,1,121.490673,25.05971
菜寮站出口2,2,121.491106,25.059287
菜寮站出口3,3,121.492111,25.060556
臺北橋站出口,0,121.500281,25.062966
大橋頭站出口1,1,121.512319,25.06318
大橋頭站出口2,2,121.513258,25.063195
大橋頭站出口3,3,121.51344,25.063739
中山國小站出口1,1,121.526095,25.06284
中山國小站出口2,2,121.526148,25.062461
中山國小站出口3,3,121.527114,25.062476
中山國小站出口4,4,121.526835,25.062835
行天宮站出口1,1,121.533004,25.058316
行天宮站出口2,2,121.533342,25.058792
行天宮站出口3,3,121.533393,25.059868
行天宮站出口4,4,121.532991,25.060365
東門站出口1,1,121.527994,25.034157
東門站出口2,2,121.527565,25.03422
東門站出口3,3,121.527854,25.033676
東門站出口4,4,121.528879,25.033646
東門站出口5,5,121.529506,25.033564
東門站出口6,6,121.529957,25.033924
東門站出口7,7,121.529678,25.033962
東門站出口8,8,121.528965,25.034074
蘆洲站出口1,1,121.464565,25.091463
蘆洲站出口2,2,121.464597,25.091609
蘆洲站出口3,3,121.464425,25.091618
三民高中站出口1,1,121.472542,25.085494
三民高中站出口2,2,121.473739,25.085791
徐匯中學站出口1,1,121.47988,25.080303
徐匯中學站出口2,2,121.480583,25.080332
三和國中站出口1,1,121.486398,25.076586
三和國中站出口2,2,121.486752,25.076946
三重國小站出口,0,121.496656,25.070536
迴龍站出口1,1,121.411264,25.021864
迴龍站出口2,2,121.41077,25.02118
迴龍站出口3,3,121.412482,25.022637
丹鳳站出口1,1,121.422282,25.029048
丹鳳站出口2,2,121.422615,25.028742
南京復興站出口1,1,121.542121,25.052625
南京復興站出口2,2,121.541863,25.051748
南京復興站出口3,3,121.543237,25.051719
南京復興站出口4,4,121.543237,25.051719
南京復興站出口5,5,121.544338,25.051727
南京復興站出口6,6,121.544908,25.052057
南京復興站出口8,8,121.543819,25.052018
南京復興站出口7,7,121.54447,25.052329
中山站出口1,1,121.520303,25.052414
中山站出口4,4,121.520306,25.052858
中山站出口2,2,121.521063,25.052382
中山站出口3,3,121.521154,25.052611
中山站出口5,5,121.519329,25.053037
中山站出口6,6,121.519007,25.052833
西門站出口1,1,121.507566,25.042137
西門站出口2,2,121.508435,25.041545
西門站出口3,3,121.508888,25.041789
西門站出口4,4,121.509006,25.042203
西門站出口5,5,121.508789,25.042935
西門站出口6,6,121.507602,25.042573
松江南京站出口1,1,121.532388,25.051842
松江南京站出口2,2,121.532875,25.051342
松江南京站出口3,3,121.53287,25.051085
松江南京站出口4,4,121.53324,25.051624
松江南京站出口5,5,121.534081,25.051882
松江南京站出口6,6,121.533727,25.052095
松江南京站出口7,7,121.533195,25.05247
松江南京站出口8,8,121.532826,25.05257
北門站出口1,1,121.509862,25.048737
北門站出口2,2,121.510506,25.049583
北門站出口3,3,121.510227,25.049943
台北小巨蛋站出口1,1,121.55153,25.051836
台北小巨蛋站出口2,2,121.550715,25.051571
台北小巨蛋站出口3,3,121.552549,25.05152
台北小巨蛋站出口4,4,121.552898,25.051534
台北小巨蛋站出口5,5,121.552069,25.051838
南京三民站出口1,1,121.563643,25.051517
南京三民站出口2,2,121.563073,25.051215
南京三民站出口3,3,121.564595,25.051328
南京三民站出口4,4,121.56471,25.051588
松山站出口1,1,121.577022,25.050171
松山站出口2,2,121.576244,25.050171
松山站出口3,3,121.577464,25.049799
松山站出口4,4,121.577971,25.049799
松山站出口5,5,121.57813,25.050557
